movie_id,language
/m/03vyhn,English Language
/m/08yl5d,English Language
/m/0crgdbh,Norwegian Language
/m/0285_cd,English Language
/m/01mrr1,German Language
/m/03cfc81,Silent film
/m/03cfc81,English Language
/m/04jcqvw,English Language
/m/02qc0j7,English Language
/m/06_y2j7,Spanish Language
/m/075f66,English Language
/m/017n1p,English Language
/m/07kjkz6,Japanese Language
/m/0gffwj,English Language
/m/016ywb,English Language
/m/04cqrs4,Turkish Language
/m/02r52hc,English Language
/m/0g5qvzg,
/m/0kcn7,English Language
/m/0gyryjt,German Language
/m/0gj30jx,English Language
/m/017n1b,English Language
/m/02wjqm,English Language
/m/05p45cv,
/m/0h964n1,German Language
/m/0g4_n3m,Russian Language
/m/047t9rb,English Language
/m/05pckh0,Italian Language
/m/0523t_1,Tamil Language
/m/05f5_5y,English Language
/m/014k4y,English Language
/m/02rc_h4,Hindi Language
/m/02pml15,Malayalam Language
/m/0gjd9q4,German Language
/m/04j284s,
/m/0gg5xnj,Spanish Language
/m/04j0lfk,Hindi Language
/m/04wy0v,English Language
/m/0fq260_,Malayalam Language
/m/0b6c_nw,
/m/0bh9fbk,Malayalam Language
/m/06_y54s,Spanish Language
/m/02pjlrp,English Language
/m/0gyv1h1,
/m/0f400r,Standard Mandarin
/m/02q74ng,English Language
/m/0734w5,
/m/07h9zj,English Language
/m/0b6kc_5,English Language
/m/03cfwy4,Silent film
/m/03cfwy4,English Language
/m/01mrrd,Afrikaans Language
/m/01mrrd,English Language
/m/05c4bry,
/m/03grb4v,Silent film
/m/03grb4v,English Language
/m/03c_x01,Silent film
/m/03c_x01,English Language
/m/02vlsqt,Spanish Language
/m/0cws46,English Language
/m/05b0lk8,Hindi Language
/m/03c0d85,Cantonese
/m/03c0d85,Standard Cantonese
/m/02rm6l8,Turkish Language
/m/05f6kpj,English Language
/m/05f6kpj,Swedish Language
/m/05f6kpj,German Language
/m/05f6kpj,Norwegian Language
/m/05f6kpj,Danish Language
/m/06_vg9f,Spanish Language
/m/0f0d1p,English Language
/m/02vn81r,English Language
/m/0kv1zq,English Language
/m/09rzk6,Italian Language
/m/0dll97s,Hindi Language
/m/04x8zs,English Language
/m/04x8zs,Spanish Language
/m/05bzp6g,English Language
/m/04m_wkg,Danish Language
/m/0gjd9qv,German Language
/m/02w1jsk,English Language
/m/07s63_7,English Language
/m/0g4zl4c,English Language
/m/04zyc0t,
/m/0fdc85,Malayalam Language
/m/0gh7n22,
/m/07v6f3,English Language
/m/05p89qm,Italian Language
/m/04mhwd,English Language
/m/05b6cft,Portuguese Language
/m/02r8pmz,Hindi Language
/m/080bxrj,Hindi Language
/m/0by1_ff,
/m/0gj93w4,German Language
/m/01p0lg,Dutch Language
/m/03ymtlq,
/m/0kv612,English Language
/m/0crvlhb,Spanish Language
/m/02vlbrf,Hindi Language
/m/0h10pz,English Language
/m/0gh8wn7,
/m/0gy0wck,
/m/04q6md9,
/m/04j1nd9,English Language
/m/0dyy_v,English Language
/m/0bm9993,Silent film
/m/061l7z,Italian Language
